"","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"MXN",9.655958,10.789019,11.285967,10.897892,10.899242,10.928192,11.129717,13.513475,12.636008,12.423325,13.169458,12.771992,13.29245,15.848267,18.664058,18.926517,19.244342,19.263633,21.485608,20.272408,20.12735
"NOK",7.983779,7.080217,6.740833,6.4425,6.413333,5.861667,5.64,6.288333,6.044167,5.604607,5.8175,5.875,6.301667,8.064167,8.4,8.271667,8.1325,8.8,9.415833,8.59,9.614167
"NZD",2.162191,1.722099,1.508681,1.420273,1.542056,1.360675,1.422727,1.600877,1.387834,1.265811,1.234284,1.219408,1.205433,1.433975,1.436525,1.407408,1.445258,1.517875,1.542058,1.4138,1.577183
"PLN",4.080033,3.889075,3.657642,3.235483,3.103158,2.76795,2.409242,3.120142,3.0153,2.962848,3.256542,3.160617,3.154542,3.7695,3.942783,3.779333,3.611717,3.839375,3.899742,3.861917,4.457758
"RON",3.305543,3.320007,3.263657,2.913653,2.808983,2.43825,2.518858,3.049325,3.1779,3.048608,3.4682,3.327917,3.349175,4.005667,4.059183,4.052492,3.941617,4.237925,4.243992,4.160417,4.688475
"RSD",64.405225,57.590042,58.375708,66.717825,67.155125,58.449567,55.72925,67.604933,77.722842,73.355433,87.958808,85.158842,88.405308,108.811425,111.27785,107.75885,100.175075,105.249558,103.163292,99.395942,111.662183
"RUB",31.348483,30.692025,28.813742,28.284442,27.190958,25.580845,24.852875,31.740358,30.367915,29.382341,30.839831,31.837144,38.378207,60.93765,67.055933,58.342801,62.668133,64.737658,72.104908,73.65435,13.321
"SEK",9.737123,8.086304,7.348887,7.473088,7.378249,6.75877,6.591099,7.653819,7.207524,6.493543,6.775016,6.513972,6.860785,8.434841,8.561992,8.548861,8.692518,9.458349,9.210309,8.576567,10.114251
"SGD",1.790588,1.742183,1.690228,1.664398,1.588933,1.507102,1.414861,1.454515,1.363508,1.257776,1.249676,1.2513,1.26705,1.374825,1.381546,1.380925,1.348842,1.364158,1.379742,1.343483,1.378667
"TRY",1.507226,1.500885,1.425537,1.343583,1.428453,1.302931,1.301522,1.54996,1.502849,1.674955,1.796001,1.903768,2.188542,2.720009,3.020135,3.648133,4.82837,5.673819,7.008605,8.850408,13.321
"XAF",693.713226,579.897426,527.338032,527.258363,522.425625,478.633718,446.000041,470.293423,494.794262,471.248626,510.556338,493.899624,493.75733,591.211698,592.605615,580.65675,555.446458,585.911013,575.586005,554.530675,623.759701
"ZAR",10.540747,7.564749,6.459693,6.359328,6.771549,7.045365,8.261223,8.473674,7.321222,7.261132,8.209969,9.655056,10.852656,12.758931,14.709611,13.323801,13.233926,14.448427,16.459105,14.778678,16.355853
"ZMW",4.398595,4.733271,4.778875,4.465,3.601667,4.001667,3.745,5.045,4.7975,4.861667,5.1475,5.396483,6.154167,8.631667,10.3075,9.5175,10.458333,12.89,18.344093,20.018487,16.961762
